,code
10,"#include <stdio.h>   int main() {     int A;       printf(""Enter the number A: "");     scanf(""%d"", &A);       if (A > 0)         printf(""%d is positive."", A);     else if (A < 0)         printf(""%d is negative."", A);     else if (A == 0)         printf(""%d is zero."", A);       return 0; } "
11,"// C program for the above approach#include <stdio.h> // Function to check if a// number is even or oddvoid checkEvenOdd(int N){    // Find remainder    int r = N % 2;     // Condition for even    if (r == 0) {        printf(""Even"");    }     // Otherwise    else {        printf(""Odd"");    }} // Driver Codeint main(){    // Given number N    int N = 101;     // Function Call    checkEvenOdd(N);     return 0;}"
12,"// C Program to Check Vowel or // Consonant using switch case#include <stdio.h>  int isVowel(char ch){    int check = 0;    switch (ch)     {    case 'a':    case 'e':    case 'i':    case 'o':    case 'u':    case 'A':    case 'E':    case 'I':    case 'O':    case 'U':        check = 1;    }    return check;}  int main(){    // 1 means Vowel    printf(""a is %d"",           isVowel('a'));       // 0 means Consonant    printf(""x is %d"",           isVowel('x'));     return 0;}"
13,"#include <stdio.h>   int main() {     int A, B, C;       printf(""Enter the numbers A, B and C: "");     scanf(""%d %d %d"", &A, &B, &C);       if (A >= B && A >= C)         printf(""%d is the largest number."", A);       if (B >= A && B >= C)         printf(""%d is the largest number."", B);       if (C >= A && C >= B)         printf(""%d is the largest number."", C);       return 0; } "
14,"// C Program to demonstrate// Sum of Natural Numbers// using while loops #include <stdio.h>int main(){    int i, s = 0;    int n = 10;    i = 1;       // while loop executes    // the statements until the    // condition is false    while (i <= n) {               // adding natural numbers        // up to given number n        s += i;        i++;    }    // printing the result    printf(""Sum = %d"", s);    return 0;}"
15,"// C program to check if a given // year is leap year or not#include <stdio.h>#include <stdbool.h>  bool checkYear(int year){    // If a year is multiple of 400,     // then it is a leap year    if (year % 400 == 0)        return true;      // Else If a year is multiple of 100,    // then it is not a leap year    if (year % 100 == 0)        return false;      // Else If a year is multiple of 4,    // then it is a leap year    if (year % 4 == 0)        return true;    return false;}  // Driver codeint main(){    int year = 2000;      checkYear(year)? printf(""Leap Year""):                     printf(""Not a Leap Year"");    return 0;}"
16,"// C Program to Make a Simple Calculator// Using switch case#include <stdio.h>#include <stdlib.h> int main(){    char ch;    double a, b;    while (1) {        printf(""Enter an operator (+, -, *, /), if want to exit press x: "");        scanf("" %c"", &ch);        // to exit        if (ch == 'x')            exit(0);        printf(""Enter two first and second operand: "");        scanf(""%lf %lf"",&a,&b);        // Using switch case we will differentiate        // operations based on different operator        switch (ch) {        // For Addition        case '+':            printf(""%.1lf + %.1lf = %.1lf\n"", a, b, a + b);            break;        // For Subtraction        case '-':            printf(""%.1lf - %.1lf = %.1lf\n"", a, b, a - b);            break;        // For Multiplication        case '*':            printf(""%.1lf * %.1lf = %.1lf\n"", a, b, a * b);            break;        // For Division        case '/':            printf(""%.1lf / %.1lf = %.1lf\n"", a, b, a / b);            break;        // If operator doesn't match any case constant        default:            printf(""Error! please write a valid operator\n"");        }    }}"
17,"// C program to Demonstrate the// Multiplication table of a number#include <stdio.h>void print_table(int range, int num){    // Declaring a variable mul to store the  product.    int mul;     // For loop to calculate the Multiplication table.    for (int i = 1; i <= range; i++) {        // To store the product.        mul = num * i;         // Printing the Multiplication Table.        printf(""%d * %d = %d"", num, i, mul);         // Proceeding to the next line.        printf(""\n"");    }}// Driver codeint main(){     // The range of the    // Multiplication table    int range = 10;     // The number to calculate the    // Multiplication table    int num = 5;     // Calling the Function.    print_table(range, num);     return 0;}"
18,"// C program to find LCM // of two numbers #include <stdio.h>   // Recursive function to return // gcd of a and b int gcd(int a, int b) {     if (a == 0)        return b;     return gcd(b % a, a); }   // Function to return LCM of // two numbers int lcm(int a, int b) {     return (a / gcd(a, b)) * b;}   // Driver codeint main() {     int a = 15, b = 20;     printf(""LCM of %d and %d is %d "",             a, b, lcm(a, b));     return 0; } "
19,"// C program to check given number is// Armstrong number or not using Sum// of Digits#include <stdio.h> // Driver codeint main(){    int n = 153;    int temp = n;    int p = 0;     // Calculating the sum of individual digits    while (n > 0) {        int rem = n % 10;        p = (p) + (rem * rem * rem);        n = n / 10;    }     // Condition to check whether the    // value of P equals to user input    // or not.    if (temp == p) {        printf(""Yes. It is Armstrong No."");    }    else {        printf(""No. It is not an Armstrong No."");    }    return 0;}"
20,"// C Program to Display Armstrong // numbers between 1 to 1000#include <math.h>#include <stdio.h>  int main(){    int i, sum, num, count = 0;    printf(        ""All Armstrong number between 1 and 1000 are:\n"");      // This loop will run for 1 to 1000    for (i = 1; i <= 1000; i++) {        num = i;        // Count number of digits.        while (num != 0) {            num /= 10;            count++;        }        num = i;        sum = pow(num % 10, count)              + pow((num % 100 - num % 10) / 10, count)              + pow((num % 1000 - num % 100) / 100, count);        // Check for Armstrong Number        if (sum == i) {            printf(""%d "", i);        }        count = 0;    }}"
21,"// C program to demonstrate an armstrong number// between the given intervals  #include <stdio.h>  int main(){    int s = 1, e = 500, num, n, arm = 0, i, sum;        // iterating the for loop     // using the given intervals    for (i = s; i <= e; i++) {        num = i;        sum = i;                // finding the armstrong number        while (num != 0) {            n = num % 10;            arm = arm + (n * n * n);            num = num / 10;        }                // if number is equal to         // the arm then it is a        // armstrong number        if (sum == arm) {            printf(""%d\n"", i);        }        arm = 0;    }    return 0;}"
22,"// C program to implement// the above approach#include <stdio.h>  // Iterative function to // reverse digits of numint reverseDigits(int num){    int rev_num = 0;    while (num > 0)     {        rev_num = rev_num * 10 + num % 10;        num = num / 10;    }    return rev_num;}  // Driver codeint main(){    int num = 4562;    printf(""Reverse of no. is %d"",             reverseDigits(num));      getchar();    return 0;}"
23,"// C program to check whether// a number is palindrome or not#include <stdio.h> // Driver codeint main(){    // Define variables       // This is our given number    int original_number = 12321;       // This variable stored reversed digit    int reversed = 0;       int num = original_number;     // Execute a while loop to reverse    // digits of given number    while (num != 0)    {        int r = num % 10;        reversed = reversed * 10 + r;        num /= 10;    }     // Compare original_number with    // reversed number    if (original_number == reversed)    {        printf("" Given number %d is a palindrome number"",                 original_number);    }    else    {        printf("" Given number %d is not a palindrome number"",                 original_number);    }    return 0;}"
24,"// C Program to check for prime number using Naive Approach#include <stdio.h>  // Function to check prime numbervoid checkPrime(int N){    // initially, flag is set to true or 1    int flag = 1;      // loop to iterate through 2 to N/2    for (int i = 2; i <= N / 2; i++) {          // if N is perfectly divisible by i        // flag is set to 0 i.e false        if (N % i == 0) {            flag = 0;            break;        }    }      if (flag) {        printf(""The number %d is a Prime Number\n"", N);    }    else {        printf(""The number %d is not a Prime Number\n"", N);    }      return;}  // driver codeint main(){    int N = 546;      checkPrime(N);      return 0;}"
25,"// C Program to Display Prime // Numbers Between Intervals #include <stdio.h>  // Driver codeint main(){    // Declare the variables    int a, b, i, j, flag;      // Ask user to enter lower value     // of interval    printf(""Enter lower bound of the interval: "");      // Take input    scanf(""%d"", &a);       // Ask user to enter upper value     // of interval    printf(""Enter upper bound of the interval: "");      // Take input    scanf(""%d"", &b);       // Print display message    printf(""Prime numbers between %d and %d are: "",             a, b);      // Traverse each number in the interval    // with the help of for loop    for (i = a; i <= b; i++)     {        // Skip 0 and 1 as they are        // neither prime nor composite        if (i == 1 || i == 0)            continue;          // flag variable to tell        // if i is prime or not        flag = 1;          for (j = 2; j <= i / 2; ++j)         {            if (i % j == 0)             {                flag = 0;                break;            }        }          // flag = 1 means i is prime        // and flag = 0 means i is         // not prime        if (flag == 1)            printf(""%d "", i);    }      return 0;}"
26,"// C program to demonstrate whether// a number is Neon number or not#include <stdio.h>  int Check_Neon_Number(int num) {      // Calculating the square of the number    int square = num * num;      // Copying the square in a variable    // to extract the digit    int n = square;      // Declaring a variable to store the digits    int digit;      // Initializing a variable to    // calculate the sum of digits    int sum = 0;      // To calculate the sum of digits    while (n != 0) {          // Extracting the digit        digit = n % 10;        sum = sum + digit;        n = n / 10;    }      // Checking the condition of a Neon Number    if (sum == num)        return 1; // If condition is true.    else        return 0; // If condition is false.}  // Driver Codeint main(){    int num = 9;      // Calling the function    int ans = Check_Neon_Number(num);    if (ans == 1)          // The number is Neon        printf(""true"");    else          // The number is not Neon        printf(""false"");    return 0;}"
27,"// C implementation of Naive // method to print all divisors#include<stdio.h>  // Function to print the divisorsvoid printDivisors(int n){    for (int i = 1; i <= n; i++)        if (n % i == 0)            printf(""%d "", i);}  // Driver codeint main(){    printf(""The divisors of 100 are: "");    printDivisors(100);    return 0;}"
28,"// C Program to find the sum of// even-indices Fibonacci numbers#include <stdio.h> // Computes value of the first// fibonacci numbers and stores// the even-indexed sumint calculateEvenSum(int n){    // return 0 if n is equals or less than to 0    if (n <= 0)        return 0;     int fibo[2 * n + 1];    fibo[0] = 0, fibo[1] = 1;     // Initialize the result    int sum = 0;     // Adding the remaining terms    for (int i = 2; i <= 2 * n; i++) {        fibo[i] = fibo[i - 1] + fibo[i - 2];         // For even indices        if (i % 2 == 0)            sum += fibo[i];    }     // Return alternating sum    return sum;} // Driver Codeint main(){     // Get n    int n = 5;     // calculateEvenSum(n) function is computed and return    // the sum of even-indices Fibonacci numbers.    int sum = calculateEvenSum(n);     // display result    printf(""Even indexed Fibonacci Sum upto %d terms = %d"",           n, sum);     return 0;}"
29,"// C program to print a triangle#include <stdio.h>  // Driver codeint main(){    int n = 6;      // ith row has i elements    for (int i = 1; i <= n; i++) {        for (int j = 1; j <= i; j++) {            printf(""*"");        }        printf(""\n"");    }    return 0;}"
30,"// C program to illustrate the above// given pattern of numbers.#include <stdio.h> int main(){    int n = 5, i, j, num = 1, gap;     gap = n - 1;     for (j = 1; j <= n; j++) {        num = j;         for (i = 1; i <= gap; i++)            printf("" "");         gap--;         for (i = 1; i <= j; i++) {            printf(""%d"", num);            num++;        }        num--;        num--;        for (i = 1; i < j; i++) {            printf(""%d"", num);            num--;        }          printf("""");    }     return 0;}"
31,"// C program to print character pattern using character #include <stdio.h> int main(){    int i, j;     // input entering number of rows    int rows = 5;     // taking first character of alphabet    // which is useful to print pattern    char character = 'A';     // first for loop is used to identify number rows    for (i = 0; i < rows; i++) {         // second for loop is used to identify number        // of columns based on the rows        for (j = 0; j <= i; j++) {             // printing character to get the required            // pattern            printf(""%c "", character);        }        printf(""\n"");         // incrementing character value so that it        // will print the next character        character++;    }    return 0;}"
32,"// C program to print continuous// character pattern using// character#include <stdio.h>int main(){       int i, j;       // Number of rows    int rows = 3;       // Taking first character of alphabet    // which is useful to print pattern    char character = 'A';       // This loop is used to identify    // number rows    for (i = 0; i < rows; i++)    {        // This for loop is used to        // identify number of columns        // based on the rows        for (j = 0; j <= i; j++)        {            // Printing character to get            // the required pattern            printf(""%c "",character);                       // Incrementing character value so            // that it will print the next character            character++;        }        printf(""\n"");    }    return 0;}"
33,"// C Program to Demonstrate// a Hollow Star Pyramid#include <stdio.h> int main(){    int i, space, n = 5, j = 0;     // first for loop is used to    // iterate number of rows    for (i = 0; i < n - 1; i++) {         // second for loop is used to print spaces        for (space = 1; space < n - i; space++) {            printf("" "");        }        // third for loop is used        // to print the required        // pattern        for (j = 0; j <= 2 * i; j++) {            if (j == 0 || j == 2 * i)                printf(""*"");            else                printf("" "");        }        // print the new line after every row        printf(""\n"");    }    // used to print last row    for (i = 0; i < 2 * n - 1; i++) {        printf(""*"");    }    return 0;}"
34,"// C program to print an inverted hollow// star pyramid using for loop#include <stdio.h>void pattern_fun(int row){    // To iterate through the rows    for (int j = 1; j <= row; j++)    {        // To print the beginning spaces        for (int sp = 1; sp <= j - 1; sp++)        {            printf("" "");        }         // Iterating from jth column to        // last column (row*2 - (2*j - 1))        int last_col = (row * 2 - (2 * j - 1));         // To iterate through column        for (int k = 1; k <= last_col; k++)        {            // To Print all star for first            // row (j==1) jth column (k==1)            // and for last column            // (row*2 - (2*j - 1))            if (j == 1 || k == 1)                printf(""*"");            else if (k == last_col)                printf(""*"");            else                printf("" "");        }        // Proceeding to next row.        printf(""\n"");    }} // Driver codeint main(){    // Number of rows    int row = 7;       // Calling the function to    // print the pattern.    pattern_fun(row);    return 0;}"
35,"// C Program To Print Hollow Diamond// Pattern using for loop#include <stdio.h>int main(){     int n = 5, rows, columns;     // for loop is used to identify    // the number of rows and    // it is used to print upper triangle    for (rows = 1; rows <= n; rows++) {         // used for printing the spaces        for (columns = n; columns > rows; columns--) {            printf("" "");        }         // print star        printf(""*"");         // again print the spaces        for (columns = 1; columns < (rows - 1) * 2;             columns++) {            printf("" "");        }        if (rows == 1) {            printf(""\n"");        }        else {            printf(""*\n"");        }    }    // for loop is used to identify    // the number of rows and    // it is used to print lower triangle    for (rows = n - 1; rows >= 1; rows--) {         // used for printing the spaces        for (columns = n; columns > rows; columns--) {            printf("" "");        }         // print star        printf(""*"");        for (columns = 1; columns < (rows - 1) * 2;             columns++) {            printf("" "");        }        if (rows == 1) {            printf(""\n"");        }        else {            printf(""*\n"");        }    }    return 0;}"
36,"// C program to print full// diamond shape pyramid#include <stdio.h>  // Prints diamond patternvoid printDiamond(int n){    int space = n - 1;      // Run loop till the number     // of rows    for (int i = 0; i < n; i++)    {        // Loop for the initially space         // before the star printing        for (int j = 0; j < space; j++)            printf("" "");          // Print the i+1 stars        for (int j = 0; j <= i; j++)            printf(""* "");          printf(""\n"");        space--;    }      // Repeat again in the reverse order    space = 0;      // run a loop till number of rows    for (int i = n; i > 0; i--)     {        // Loop for the initially space         // before the star printing        for (int j = 0; j < space; j++)            printf("" "");          // Print the i stars        for (int j = 0; j < i; j++)            printf(""* "");          printf(""\n"");        space++;    }}  // Driver codeint main(){    printDiamond(8);    return 0;}"
37,"// C program to print Pascal’s // Triangle using 2D Arrays in// O(n^2) time and O(n^2) extra space// method.#include<stdio.h>void printPascal(int n){  // An auxiliary array to store  // generated pascal triangle values  int arr[n][n];      // Iterate through every line and   // print integer(s) in it  for (int line = 0; line < n; line++)  {    // Every line has number of integers    // equal to line number    for (int i = 0; i <= line; i++)    {      // First and last values in       // every row are 1      if (line == i || i == 0)        arr[line][i] = 1;              // Other values are sum of values       // just above and left of above      else        arr[line][i] = (arr[line - 1][i - 1] +                         arr[line - 1][i]);      printf(""%d "",               arr[line][i]);    }    printf(""\n"");  }}  // Driver codeint main(){  int n = 5;  printPascal(n);  return 0;}"
38,"// C program to Demonstrate Floyd's Triangle// Using for loop#include <stdio.h>void floyd(int n){    int i, j = 1;     // Condition printing the number of element    for (i = 1; i <= (n * (n + 1)) / 2; i++) {         printf(""%d "", i);         // condition for row of number of element printing        if (i == (j * (j + 1)) / 2) {            printf(""\n"");            j++;        }    }}int main() { floyd(6); }"
39,"// C program to demonstrate reversing// of floyd's triangle#include <stdio.h>void Reverse_Floyd(int row){    // Calculating the maximum value    int max_val = row * (row + 1) / 2;     // Initializing num with the max value    int num = max_val;     // The outer loop maintains,    // the number of rows.    for (int i = row; i >= 1; i--) {         // The inner loop maintains,        // the number of column.        for (int j = 1; j <= i; j++) {             // To print the numbers.            printf(""%d "", num);             // To keep decreasing the value            // of numbers.            num--;        }         // To proceed to next line.        printf(""\n"");    }}int main(){    int row = 5; // The number of Rows to be printed.     // Calling the Function.    Reverse_Floyd(row);       return 0;}"
40,"// C program to demonstrate whether// a number is prime or not using // for loop#include <stdio.h>  // defining the functionint primenumber(int number){    int i;        // condition for checking the    // given number is prime or    // not    for (i = 2; i <= number / 2; i++) {        if (number % i != 0)            continue;        else            return 1;    }    return 0;}  int main(){    int num = 7, res = 0;        // calling the function    res = primenumber(num);    if (res == 0)        printf(""%d is a prime number"", num);    else        printf(""%d is not a prime number"", num);}"
41,"// C Program to demonstrate Prime Numbers// Between Two Intervals Using for // loop in a function  #include <stdio.h>  // user-defined function to check prime numberint checkPrimeNumber(int number){    int i, f = 1;        // condition for finding the    // prime numbers between the    // given intervals    for (i = 2; i <= number / 2; ++i) {          if (number % i == 0) {            f = 0;            break;        }    }      return f;}  int main(){      int num1 = 2, num2 = 10, j, f;      printf(""Prime numbers between %d and %d are: "", num1,           num2);    for (j = num1; j < num2; ++j) {          // if flag is equal to 1 then        // it is a prime number        // calling the function        f = checkPrimeNumber(j);          if (f == 1) {                        // printing the result            printf(""%d "", j);        }    }      return 0;}"
42,"// C program to find roots of// a quadratic equation#include <math.h>#include <stdio.h>#include <stdlib.h> // Prints roots of quadratic// equation ax*2 + bx + xvoid findRoots(int a, int b, int c){    // If a is 0, then equation is    // not quadratic, but linear    if (a == 0)    {        printf(""Invalid"");        return;    }     int d = b * b - 4 * a * c;    double sqrt_val = sqrt(abs(d));     if (d > 0)    {        printf(""Roots are real and different "");        printf(""%f%f"",              (double)(-b + sqrt_val) /                      (2 * a),              (double)(-b - sqrt_val) /                      (2 * a));    }    else if (d == 0)    {        printf(""Roots are real and same "");        printf(""%f"",                -(double)b / (2 * a));    }    else // d < 0    {        printf(""Roots are complex "");        printf(""%f + i%f%f - i%f"",               -(double)b / (2 * a),               sqrt_val/(2 * a),               -(double)b / (2 * a),               sqrt_val/(2 * a));    }} // Driver codeint main(){    int a = 1, b = -7, c = 12;       // Function call    findRoots(a, b, c);    return 0;}"
43,"// C program to check whether a// number can be expressed as sum// of two prime numbers#include <stdio.h> // Function to check prime numberint isPrime(int n){    int i, isPrime = 1;     // 0 and 1 are not prime numbers    if (n == 0 || n == 1)    {        isPrime = 0;    }    else    {        for (i = 2; i <= n / 2; ++i)        {            if (n % i == 0)            {                isPrime = 0;                break;            }        }    }     return isPrime;} // Driver codeint main(){    int n = 7, i, flag = 0;     for (i = 2; i <= n / 2; ++i)    {        // condition for i to be a        // prime number        if (isPrime(i) == 1)        {            // condition for n-i to            // be a prime number            if (isPrime(n - i) == 1)            {                printf(""Yes\n"");                return 0;            }        }    }     printf(""No\n"");    return 0;}"
44,"// C program to find the sum of n// natural numbers using recursion#include <stdio.h> // Returns the sum of first n// natural numbersint recSum(int n){  // Base condition    if (n <= 1)        return n;     // Recursive call    return n + recSum(n - 1);} // Driver codeint main(){    int n = 10;    printf(""Sum = %d "", recSum(n));    return 0;}"
45,"// C program to find GCD of two numbers#include <math.h>#include <stdio.h>  // Function to return gcd of a and bint gcd(int a, int b){    // Find Minimum of a and b    int result = ((a < b) ? a : b);     while (result > 0) {        if (a % result == 0 && b % result == 0) {            break;        }        result--;    }    return result; // return gcd of a nd b}  // Driver program to test above functionint main(){    int a = 98, b = 56;    printf(""GCD of %d and %d is %d "", a, b, gcd(a, b));    return 0;}// This code is contributed by Suruchi Kumari"
46,       1               2       3       4
47,"// C program for the above approach#include <stdio.h>   int power(int x, int n){    // If x^0 return 1    if (n == 0)        return 1;       // If we need to find of 0^y    if (x == 0)        return 0;    // For all other cases    return x * power(x, n - 1);}   // Driver Codeint main(){    int x = 2;    int n = 3;       // Function call    printf(""%d\n"", power(x, n));}"
48,"// C program to find maximum in // arr[] of size n #include <stdio.h>   // C function to find maximum // in arr[] of size n int largest(int arr[], int n) {     int i;           // Initialize maximum element     int max = arr[0];       // Traverse array elements from     // second and compare every     // element with current max     for (i = 1; i < n; i++)         if (arr[i] > max)             max = arr[i];       return max; }   // Driver codeint main() {     int arr[] = {10, 324, 45, 90, 9808};     int n = sizeof(arr)/sizeof(arr[0]);     printf(""Largest in given array is %d"",             largest(arr, n));     return 0; } "
49,"// C program to demonstrate// average of array elements#include <stdio.h>  // Function that return average of given array.double average(int a[], int n){    // Find the sum of array element    int sum = 0;    for (int i = 0; i < n; i++)        sum += a[i];      return (double)sum / n;}  // Driver codeint main(){    // input array    int arr[] = { 1, 2, 3, 4, 5 };      // size of array    int n = sizeof(arr) / sizeof(arr[0]);      // average(arr, n) function is return the average of the    // array.    int avg = average(arr, n);      // display average of given array    printf("" Average = %d "", avg);    return 0;}"
50,"// C program to sort array elements in descending order  #include <stdio.h>  int main(){      int a[5] = { 45, 22, 100, 66, 37 };    int n = 5, i, j, t = 0;        // iterates the array elements    for (i = 0; i < n; i++) {                // iterates the array elements from index 1        for (j = i + 1; j < n; j++) {                        // comparing the array elements, to set array            // elements in descending order            if (a[i] < a[j]) {                t = a[i];                a[i] = a[j];                a[j] = t;            }        }    }    // printing the output    for (i = 0; i < n; i++) {        printf(""%d "", a[i]);    }    return 0;}"
51,"// C program to sort the array in an// ascending order using selection sort  #include <stdio.h>  void swap(int* xp, int* yp){    int temp = *xp;    *xp = *yp;    *yp = temp;}  // Function to perform Selection Sortvoid selectionSort(int arr[], int n){    int i, j, min_idx;      // One by one move boundary of unsorted subarray    for (i = 0; i < n - 1; i++) {          // Find the minimum element in unsorted array        min_idx = i;        for (j = i + 1; j < n; j++)            if (arr[j] < arr[min_idx])                min_idx = j;          // Swap the found minimum element        // with the first element        swap(&arr[min_idx], &arr[i]);    }}  // Function to print an array void printArray(int arr[], int size){    int i;    for (i = 0; i < size; i++)        printf(""%d "", arr[i]);    printf(""\n"");}  // Driver codeint main(){    int arr[] = { 0, 23, 14, 12, 9 };    int n = sizeof(arr) / sizeof(arr[0]);    printf(""Original array: \n"");    printArray(arr, n);      selectionSort(arr, n);    printf(""\nSorted array in Ascending order: \n"");    printArray(arr, n);      return 0;}"
52,"// C program to remove duplicates#include <stdio.h>  // Function to remove duplicate // elements This function returns // new size of modified array.int removeDuplicates(int arr[], int n){    // Return, if array is empty or     // contains a single element    if (n == 0 || n == 1)        return n;      int temp[n];      // Start traversing elements    int j = 0;      // If current element is not equal     // to next element then store that     // current element    for (int i = 0; i < n - 1; i++)        if (arr[i] != arr[i + 1])            temp[j++] = arr[i];      // Store the last element as whether     // it is unique or repeated, it hasn't     // stored previously    temp[j++] = arr[n - 1];      // Modify original array    for (int i = 0; i < j; i++)        arr[i] = temp[i];      return j;}  // Driver codeint main(){    int arr[] = {1, 2, 2, 3, 4,                  4, 4, 5, 5};    int n = sizeof(arr) / sizeof(arr[0]);      // removeDuplicates() returns new     // size of array.    n = removeDuplicates(arr, n);      // Print updated array    for (int i = 0; i < n; i++)        printf(""%d "", arr[i]);    return 0;}  // This code is contributed by Aditya Kumar (adityakumar129)"
53,"// C Program To Merge Two Arrays// using Quaint Methodology#include <stdio.h>int main(){    int arr1size = 5, arr2size = 5, arr_resultsize, i, j;     // elements of first Array    int a[5] = { 1, 2, 3, 4, 5 };     // elements of Second Array    int b[5] = { 6, 7, 8, 9, 10 };     // resultant Array Size Declaration    arr_resultsize = arr1size + arr2size;    int c[arr_resultsize];     // copying array 1 elements into an array    for (i = 0; i < arr1size; i++) {        c[i] = a[i];    }     // copying array 2 elements into an array    for (i = 0, j = arr1size;         j < arr_resultsize && i < arr2size; i++, j++) {        c[j] = b[i];    }     // Array Elements After Merging    for (i = 0; i < arr_resultsize; i++) {        printf(""%d "", c[i]);    }    return 0;}"
54,"// C Program to remove All Occurrences of// an element in an array using functions#include <stdio.h>  // function declarationint remove_element(int* array, int n, int val){    int i;        // iterates array elements    for (i = 0; i < n; i++)                // if the given array element is not equal to given        // value then print array element        if (array[i] != val)            printf(""%d "", array[i]);}  int main(){    int array[6] = { 1, 2, 1, 3, 1 }, size = 5, value = 1;    remove_element(array, size, value);}"
55,"// C Program to demonstrate scrunity of// 2 Common Array Elements Using Brute force#include <stdio.h> int main(){    int array1[] = { 8, 2, 3, 4, 5, 6, 7, 1 };    int array2[] = { 4, 5, 7, 11, 6, 1 };    int i, j, flag, x, k = 0;    int result[100];    printf(""Common elements are: "");       // To traverse in array1.    for (i = 0; i < sizeof(array1) / 4; i++) {               // To traverse in array2.        for (j = 0; j < sizeof(array2) / 4; j++) {                       // To match elements of array1 with elements of            // array2.            if (array1[i] == array2[j]) {                               flag = 0;                               // To traverse in result array.                for (x = 0; x < k; x++) {                                       // Check whether found element is                    // already present in result array or                    // not.                    if (result[x] == array1[i]) {                        flag++;                    }                }                               // If we found a new element which is common                // in both arrays then store it in result                // array and print it.                if (flag == 0) {                                       result[k] = array1[i];                    printf(""%d "", result[k]);                    k++;                }            }        }    }}"
